Time_of_Day,Students_Present,Temperature_C,Appliance_Usage,Day_of_Week,Energy_Consumption_kWh,Month,Season,Building_Type,Weather_Condition,Occupancy_Level,Shift,HVAC_Mode,Event_Type,Maintenance_Status,Humidity_Percent,Wind_Speed_kmh,Solar_Radiation_Wm2,HVAC_Usage_kW,Lighting_Usage_kW,Water_Usage_Liters,CO2_Level_ppm
18,360.0,16.67,18.0,4,243.64,5,1,2,2,1,1,1,1,0,31.8,19.1,172.3,17.75,6.81,1629.4,578.2
19,597.0,27.24,59.0,7,353.65,5,1,1,0,0,1,1,3,0,70.0,18.2,13.2,21.73,7.755,1177.7,693.6
1,357.0,30.61,23.0,6,251.29,10,0,4,6,1,3,6,1,2,62.1,48.2,18.5,5.32,6.47,1140.8,576.4
22,213.0,25.94,30.0,7,250.19,9,0,6,2,3,1,4,7,4,33.8,7.9,11.2,4.15,3.04,2582.4,540.5
14,457.0,29.09,47.0,4,334.71,10,0,0,5,1,0,3,4,0,74.8,49.6,388.6,14.29,12.28,550.6,624.1
6,578.0,16.0,30.0,6,316.97,5,1,4,6,0,2,1,6,2,41.2,20.5,721.9,29.27,13.68,651.3,692.1
3,436.0,21.27,36.0,2,287.08,6,2,4,5,1,3,1,4,0,93.0,37.7,15.8,3.7,7.755,1127.3,648.6
3,440.0,25.67,18.0,4,284.8,12,3,9,2,1,3,1,2,0,76.9,47.6,5.9,4.1,0.56,1243.6,618.5
9,170.0,26.54,4.0,7,149.68,10,0,2,6,4,2,1,4,4,91.6,20.7,779.2,24.8,9.35,1878.8,542.4
14,64.0,37.7,21.0,1,168.11,12,3,6,4,2,0,1,1,0,62.5,47.4,308.7,8.79,11.45,1865.7,540.5
20,34.0,36.96,47.0,7,238.69,7,2,2,8,2,1,3,3,1,39.9,19.1,3.6,0.18,5.71,2187.4,469.4
11,209.0,30.17,46.0,7,250.33,10,0,6,2,3,2,2,3,0,63.8,43.8,816.7,15.024999999999999,2.89,304.9,527.4
12,194.0,21.08,12.0,6,161.95,4,1,1,6,3,0,1,3,3,80.0,41.2,146.0,11.74,3.62,2488.2,540.5
13,236.0,30.15,2.0,5,188.19,5,1,9,7,3,0,0,7,1,37.5,31.0,449.8,2.33,8.72,2571.1,478.3
7,203.0,20.46,16.0,7,141.66,10,0,1,2,3,2,4,4,0,38.2,25.25,340.5,15.024999999999999,14.71,1143.9,497.0
10,158.0,37.31,12.0,7,183.94,4,1,1,6,3,2,2,3,1,51.9,46.1,905.6,17.18,1.92,1533.1,469.3
8,414.0,29.69,42.0,1,310.56,7,2,6,6,1,2,1,4,0,35.8,11.0,172.3,1.64,10.35,2677.3,627.3
0,359.0,108.58369127869544,23.0,7,247.82,8,2,0,6,1,3,2,7,0,55.3,11.9,9.0,3.96,12.76,349.1,623.9
