Time_of_Day,Students_Present,Temperature_C,Appliance_Usage,Day_of_Week,Energy_Consumption_kWh,Month,Season,Building_Type,Weather_Condition,Occupancy_Level,Shift,HVAC_Mode,Event_Type,Maintenance_Status,Humidity_Percent,Wind_Speed_kmh,Solar_Radiation_Wm2,HVAC_Usage_kW,Lighting_Usage_kW,Water_Usage_Liters,CO2_Level_ppm
16,541.0,21.47,15.0,3,359.56,5,Spring,Office,Partly_Cloudy,Full,Afternoon,Heating,Sports_Event,Normal,73.2,6.1,601.7,25.21,9.37,1672.7,747.9
18,395.0,27.78,46.0,7,390.87,7,Summer,Classroom,Sunny,High,Evening,Ventilation,Regular_Class,Post_Maintenance,60.0,19.2,138.8,25.73,5.16,1881.9,738.8
13,554.0,NULL,40.0,7,397.93,1,Winter,Gymnasium,Cloudy,Full,Afternoon,Heating,Regular_Class,Normal,70.0,11.8,570.1,,7.03,2152.6,826.9
2,220.0,14.67,20.0,1,247.06,3,Spring,Laboratory,Windy,Medium,Night,Cooling,Sports_Event,Normal,,45.9,13.4,7.28,2.07,1064.0,610.7
1,,25.74,35.0,2,332.84,5,Spring,Laboratory,Rainy,High,Night,Heating,Exam,Normal,76.1,39.7,10.8,22.03,,1315.7,
4,0.0,24.09,24.0,2,151.69,4,Spring,Gymnasium,Sunny,Low,Night,Off,Sports_Event,,59.6,4.7,2.9,1.3,,340.3,423.4
4,362.0,5.69,22.0,5,302.12,11,Fall,Laboratory,Cloudy,High,Night,Cooling,Regular_Class,Post_Maintenance,78.4,24.1,11.9,19.57,0.0,1876.4,659.4
20,,2.91,24.0,2,200.33,11,Fall,Laboratory,Foggy,Medium,Evening,Ventilation,Workshop,Normal,78.9,52.7,4.4,14.93,1.3,875.5,564.8
3,573.0,28.97,22.0,4,363.92,7,Summer,Classroom,Sunny,Full,Night,,No_Event,Post_Maintenance,67.1,8.8,14.0,17.92,3.42,1821.4,815.5
22,338.0,19.6,7.0,3,265.58,7,Summer,Laboratory,Sunny,High,Evening,Heating,Exam,Under_Maintenance,61.3,7.0,14.9,19.3,1.36,1712.8,641.2
5,368.0,13.69,18.0,7,-200.52407253087551,2,Winter,Office,,High,Night,Heating,Regular_Class,Normal,70.8,12.9,3.2,17.45,0.0,,675.4
14,0.0,31.18,52.0,2,228.03,6,Summer,Cafeteria,Cloudy,Low,Afternoon,Cooling,Regular_Class,Scheduled_Check,,,860.7,7.13,2.74,50.0,485.0
5,354.0,8.89,,1,223.43,1,Winter,Auditorium,Rainy,High,Night,Cooling,Regular_Class,Scheduled_Check,79.1,19.6,11.8,18.74,,1728.3,680.5
9,556.0,,44.0,1,428.87,8,Summer,Auditorium,Sunny,Full,Morning,,No_Event,Normal,60.5,1.6,300.4,17.51,6.72,2291.5,797.2
